class_id,fdi,dice
1,11,0.140369
2,12,0.210397
3,13,0.406736
4,14,0.238701
5,15,0.183474
6,16,0.409497
7,17,0.284948
8,18,0.328469
9,21,0.457182
10,22,0.557691
11,23,0.387024
12,24,0.504442
13,25,0.411697
14,26,0.253846
15,27,0.257468
16,28,0.072633
17,31,0.385571
18,32,0.480488
19,33,0.552369
20,34,0.391189
21,35,0.427913
22,36,0.361324
23,37,0.390712
24,38,0.475489
25,41,0.548015
26,42,0.336103
27,43,0.405569
28,44,0.292727
29,45,0.179228
30,46,0.209027
31,47,0.241559
32,48,0.512684
33,51,0.306908
34,52,0.049950
35,53,0.265297
36,54,0.183774
37,55,0.597403
38,61,0.308765
39,62,0.311387
40,63,0.393939
41,64,0.360982
42,65,0.358095
43,71,0.000000
44,72,0.017630
45,73,0.007001
46,74,0.559738
47,75,0.370893
48,81,0.005435
49,82,0.013180
50,83,0.078305
51,84,0.293224
52,85,0.262491
