class_id,fdi,dice
1,11,0.595683
2,12,0.298704
3,13,0.000000
4,14,0.099052
5,15,0.327502
6,16,0.338457
7,17,0.117103
8,18,0.339108
9,21,0.532532
10,22,0.542673
11,23,0.306295
12,24,0.307065
13,25,0.317392
14,26,0.244991
15,27,0.315602
16,28,0.422937
17,31,0.188217
18,32,0.446995
19,33,0.503088
20,34,0.634197
21,35,0.767757
22,36,0.716107
23,37,0.431333
24,38,0.373898
25,41,0.369006
26,42,0.427348
27,43,0.626500
28,44,0.440923
29,45,0.455051
30,46,0.507824
31,47,0.418370
32,48,0.473501
33,51,0.000000
34,52,0.000000
35,53,0.000000
36,54,0.000000
37,55,0.000000
38,61,0.000000
39,62,0.000000
40,63,0.000000
41,64,0.000000
42,65,0.000000
43,71,0.000000
44,72,0.000000
45,73,0.000000
46,74,0.000000
47,75,0.000000
48,81,0.000000
49,82,0.000000
50,83,0.000000
51,84,0.000000
52,85,0.000000
