class_id,fdi,dice
1,11,0.559981
2,12,0.606914
3,13,0.569000
4,14,0.484730
5,15,0.632292
6,16,0.459244
7,17,0.443123
8,18,0.541253
9,21,0.645199
10,22,0.676771
11,23,0.575318
12,24,0.499907
13,25,0.606967
14,26,0.557215
15,27,0.580363
16,28,0.564678
17,31,0.762405
18,32,0.824579
19,33,0.843737
20,34,0.701672
21,35,0.747574
22,36,0.656544
23,37,0.560578
24,38,0.562411
25,41,0.506759
26,42,0.315073
27,43,0.551656
28,44,0.438930
29,45,0.245208
30,46,0.298400
31,47,0.439114
32,48,0.638352
33,51,0.143642
34,52,0.150697
35,53,0.214944
36,54,0.000000
37,55,0.435459
38,61,0.019937
39,62,0.024033
40,63,0.000000
41,64,0.000000
42,65,0.000000
43,71,0.149349
44,72,0.152736
45,73,0.327775
46,74,0.134869
47,75,0.030393
48,81,0.002863
49,82,0.000000
50,83,0.065934
51,84,0.004473
52,85,0.160887
