class_id,fdi,dice
1,11,0.676185
2,12,0.650862
3,13,0.546550
4,14,0.615847
5,15,0.667812
6,16,0.702530
7,17,0.755720
8,18,0.730884
9,21,0.715969
10,22,0.793337
11,23,0.624962
12,24,0.670273
13,25,0.669954
14,26,0.704990
15,27,0.654346
16,28,0.717008
17,31,0.678667
18,32,0.707675
19,33,0.649518
20,34,0.718862
21,35,0.897846
22,36,0.545075
23,37,0.750544
24,38,0.757328
25,41,0.663042
26,42,0.640971
27,43,0.675851
28,44,0.543792
29,45,0.462994
30,46,0.434380
31,47,0.294113
32,48,0.661964
33,51,0.056813
34,52,0.000000
35,53,0.004290
36,54,0.008142
37,55,0.205272
38,61,0.000000
39,62,0.000000
40,63,0.000000
41,64,0.000000
42,65,0.000000
43,71,0.054004
44,72,0.000000
45,73,0.000000
46,74,0.000000
47,75,0.000000
48,81,0.000000
49,82,0.000000
50,83,0.000000
51,84,0.049274
52,85,0.225888
