class,fdi,dice
1,11,0.726356
2,12,0.744081
3,13,0.672271
4,14,0.006784
5,15,0.687019
6,16,0.662151
7,17,0.713861
8,18,0.671569
9,21,0.772981
10,22,0.728007
11,23,0.725573
12,24,0.673204
13,25,0.791841
14,26,0.815583
15,27,0.630592
16,28,0.790074
17,31,0.656583
18,32,0.713354
19,33,0.821842
20,34,0.821060
21,35,0.830639
22,36,0.845857
23,37,0.710218
24,38,0.669932
25,41,0.452781
26,42,0.201009
27,43,0.630067
28,44,0.577361
29,45,0.453580
30,46,0.519994
31,47,0.393091
32,48,0.753961
33,51,0.496443
34,52,0.537534
35,53,0.609774
36,54,0.004551
37,55,0.448217
38,61,0.504042
39,62,0.605158
40,63,0.630941
41,64,0.422556
42,65,0.662817
43,71,0.398463
44,72,0.732240
45,73,0.688912
46,74,0.750853
47,75,0.738442
48,81,0.000000
49,82,0.635707
50,83,0.540984
51,84,0.651880
52,85,0.776925
